,Bundesland,Landkreis,date,infected,log(infected+1)
3055,Sachsen,Niederschlesischer Oberlausitzkreis,18-03,3.0,1.3862943611198906
3056,Niedersachsen,Göttingen,18-03,18.0,2.9444389791664403
3057,Niedersachsen,Osterode,18-03,18.0,2.9444389791664403
3058,Sachsen-Anhalt,Halberstadt,18-03,4.0,1.6094379124341003
3059,Sachsen-Anhalt,Quedlinburg,18-03,4.0,1.6094379124341003
3060,Sachsen-Anhalt,Wernigerode,18-03,4.0,1.6094379124341003
3061,Sachsen,Leipziger Land,18-03,14.0,2.70805020110221
3062,Sachsen,Muldentalkreis,18-03,14.0,2.70805020110221
3063,Mecklenburg-Vorpommern,Ludwigslust,18-03,6.0,1.9459101490553132
3064,Mecklenburg-Vorpommern,Parchim,18-03,6.0,1.9459101490553132
3065,Sachsen-Anhalt,Mansfelder Land,18-03,2.0,1.0986122886681098
3066,Sachsen-Anhalt,Sangerhausen,18-03,2.0,1.0986122886681098
3067,Mecklenburg-Vorpommern,Demmin,18-03,5.0,1.791759469228055
3068,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,18-03,5.0,1.791759469228055
3069,Mecklenburg-Vorpommern,Müritz,18-03,5.0,1.791759469228055
3070,Mecklenburg-Vorpommern,Neubrandenburg Städte,18-03,5.0,1.791759469228055
3071,Sachsen,Meißen,18-03,10.0,2.3978952727983707
3072,Sachsen,Riesa-Großenhain,18-03,10.0,2.3978952727983707
3073,Sachsen,Delitzsch,18-03,4.0,1.6094379124341003
3074,Sachsen,Torgau-Oschatz,18-03,4.0,1.6094379124341003
3075,Mecklenburg-Vorpommern,Nordwestmecklenburg,18-03,8.0,2.1972245773362196
3076,Mecklenburg-Vorpommern,Wismar Städte,18-03,8.0,2.1972245773362196
3077,Mecklenburg-Vorpommern,Bad Doberan,18-03,6.0,1.9459101490553132
3078,Mecklenburg-Vorpommern,Güstrow,18-03,6.0,1.9459101490553132
3079,Sachsen-Anhalt,Merseburg-Querfurt,18-03,6.0,1.9459101490553132
3080,Sachsen-Anhalt,Saalkreis,18-03,6.0,1.9459101490553132
3081,Sachsen,Sächsische Schweiz,18-03,14.0,2.70805020110221
3082,Sachsen,Weißeritzkreis,18-03,14.0,2.70805020110221
3083,Sachsen-Anhalt,Aschersleben-Staßfurt,18-03,4.0,1.6094379124341003
3084,Sachsen-Anhalt,Bernburg,18-03,4.0,1.6094379124341003
3085,Sachsen-Anhalt,Schönebeck,18-03,4.0,1.6094379124341003
3086,Sachsen,Plauen Städte,18-03,5.0,1.791759469228055
3087,Sachsen,Vogtlandkreis,18-03,5.0,1.791759469228055
3088,Mecklenburg-Vorpommern,Greifswald Städte,18-03,6.0,1.9459101490553132
3089,Mecklenburg-Vorpommern,Ostvorpommern,18-03,6.0,1.9459101490553132
3090,Mecklenburg-Vorpommern,Uecker-Randow,18-03,6.0,1.9459101490553132
3091,Mecklenburg-Vorpommern,Nordvorpommern,18-03,3.0,1.3862943611198906
3092,Mecklenburg-Vorpommern,Rügen,18-03,3.0,1.3862943611198906
3093,Mecklenburg-Vorpommern,Stralsund Städte,18-03,3.0,1.3862943611198906
3094,Sachsen-Anhalt,Burgenlandkreis,18-03,7.0,2.0794415416798357
3095,Sachsen-Anhalt,Weißenfels,18-03,7.0,2.0794415416798357
3096,Sachsen,Chemnitzer Land,18-03,18.0,2.9444389791664403
3097,Sachsen,Zwickau Städte,18-03,18.0,2.9444389791664403
3098,Sachsen,Zwickauer Land,18-03,18.0,2.9444389791664403
3099,Rheinland-Pfalz,Ahrweiler,18-03,24.0,3.2188758248682006
3100,Bayern,Aichach-Friedberg,18-03,15.0,2.772588722239781
3101,Baden-Württemberg,Alb-Donau,18-03,26.0,3.295836866004329
3102,Thüringen,Altenburger Land,18-03,5.0,1.791759469228055
3103,Rheinland-Pfalz,Altenkirchen,18-03,9.0,2.302585092994046
3104,Bayern,Altötting,18-03,13.0,2.6390573296152584
3105,Rheinland-Pfalz,Alzey-Worms,18-03,55.0,4.02535169073515
3106,Bayern,Amberg Städte,18-03,2.0,1.0986122886681098
3107,Bayern,Amberg-Sulzbach,18-03,18.0,2.9444389791664403
3108,Bayern,Ansbach,18-03,6.0,1.9459101490553132
3109,Bayern,Ansbach Städte,18-03,3.0,1.3862943611198906
3110,Bayern,Aschaffenburg,18-03,30.0,3.4339872044851463
3111,Bayern,Aschaffenburg Städte,18-03,15.0,2.772588722239781
3112,Bayern,Augsburg,18-03,48.0,3.8918202981106265
3113,Bayern,Augsburg Städte,18-03,25.0,3.258096538021482
3114,Rheinland-Pfalz,Bad Dürkheim,18-03,49.0,3.912023005428146
3115,Bayern,Bad Kissingen,18-03,9.0,2.302585092994046
3116,Rheinland-Pfalz,Bad Kreuznach,18-03,23.0,3.1780538303479458
3117,Bayern,Bad Tölz-Wolfratshausen,18-03,24.0,3.2188758248682006
3118,Baden-Württemberg,Baden-Baden Städte,18-03,17.0,2.8903717578961645
3119,Bayern,Bamberg,18-03,8.0,2.1972245773362196
3120,Bayern,Bamberg Städte,18-03,2.0,1.0986122886681098
3121,Brandenburg,Barnim,18-03,21.0,3.091042453358316
3122,Bayern,Bayreuth,18-03,13.0,2.6390573296152584
3123,Bayern,Bayreuth Städte,18-03,1.0,0.6931471805599453
3124,Bayern,Berchtesgadener Land,18-03,1.0,0.6931471805599453
3125,Hessen,Bergstraße,18-03,33.0,3.5263605246161616
3126,Berlin,Berlin,18-03,731.0,6.595780513961311
3127,Rheinland-Pfalz,Bernkastel-Wittlich,18-03,13.0,2.6390573296152584
3128,Baden-Württemberg,Biberach,18-03,45.0,3.828641396489095
3129,Nordrhein-Westfalen,Bielefeld Städte,18-03,11.0,2.4849066497880004
3130,Rheinland-Pfalz,Birkenfeld,18-03,4.0,1.6094379124341003
3131,Rheinland-Pfalz,Bitburg-Prüm,18-03,30.0,3.4339872044851463
3132,Baden-Württemberg,Böblingen,18-03,28.0,3.367295829986474
3133,Nordrhein-Westfalen,Bochum Städte,18-03,34.0,3.5553480614894135
3134,Baden-Württemberg,Bodensee,18-03,62.0,4.143134726391533
3135,Nordrhein-Westfalen,Bonn Städte,18-03,74.0,4.31748811353631
3136,Nordrhein-Westfalen,Borken,18-03,131.0,4.882801922586371
3137,Nordrhein-Westfalen,Bottrop Städte,18-03,9.0,2.302585092994046
